"Order_no","Product_no","Qty_ordered","Qty_disp","Product_rate"
"O19001","P00001","4","4","525.00"
"O19001","P07885","2","1","5250.00"
"O19001","P07965","2","1","8400.00"
"O19002","P00001","10","0","525.00"
"O19003","P03453","2","2","1050.00"
"O19003","P06734","1","1","12000.00"
"O19008","P00001","10","5","525.00"
"O19008","P07975","5","3","1050.00"
"O46865","P00001","10","10","525.00"
"O46865","P03453","4","4","1050.00"
"O46865","P07868","3","3","3150.00"
"O46865","P07885","3","1","5250.00"
"O46866","P07965","1","0","8400.00"
"O46866","P07975","1","0","1050.00"
